Author,Full.Text
Trump,"My administration will always stand with the men and women of law enforcement. Every day, police officers risk their lives to keep us safe, and every year, many sacrifice their lives in the line of duty."
Trump,"One of these incredible Americans was Detective Miosotis Familia. She was part of a team of American Heroes called the NYPD or New York’s Finest. Three years ago on Fourth of July weekend, Detective Familia was on duty in her vehicle when she was ambushed just after midnight and murdered by a monster who hated her purely for wearing the badge."
Trump,"Detective Familia was a single mom – she’d recently asked for the night shift so she could spend more time with her kids. Two years ago, I stood in front of the U.S. Capitol alongside those children, and held their Grandmother’s hand as they mourned their terrible loss and we honored Detective Familia’s extraordinary life."
Trump,"Detective Familia’s three children are with us this evening. Genesis, Peter, and Delilah, we are so grateful to have you here tonight. I promise you that we will treasure your mom in our memories forever."
Trump,"We must remember that the overwhelming majority of police officers in this country are noble, courageous and honorable. We have to give law enforcement, our police, back their power. They are afraid to act. They are afraid to lose their pension. They are afraid to lose their jobs, and by being afraid they are not able to do their jobs. And those who suffer most are the great people who they want so desperately to protect."
Trump,"When there is police misconduct, the justice system must hold wrongdoers fully and completely accountable, and it will. But what we can never have in America – and must never allow – is MOB RULE. In the strongest possible terms, the Republican Party condemns the rioting, looting, arson and violence we have seen in Democrat-run cities like Kenosha, Minneapolis, Portland, Chicago, and New York."
Trump,"There is violence and danger in the streets of many Democrat-run cities throughout America. This problem could easily be fixed if they wanted to. We must always have law and order. All federal crimes are being investigated, prosecuted, and punished to the fullest extent of the law."
Trump,"When the anarchists started ripping down our statues and monuments, I signed an order, ten years in prison, and it all stopped."
Trump,"During their convention, Joe Biden and his supporters remained completely silent about the rioters and criminals spreading mayhem in Democrat-Run Cities. In the face of left-wing anarchy and mayhem in Minneapolis, Chicago, and other cities, Joe Biden’s campaign did not condemn it – they DONATED to it. At least 13 members of Joe Biden’s campaign staff donated to a fund to bail out vandals, arsonists, looters, and rioters from jail."
Trump,"Here tonight is the grieving family of retired police Captain David Dorn, a 38-year veteran of the St. Louis Police Department. In June, Captain Dorn was shot and killed as he tried to protect a store from rioters and looters. We are honored to be joined tonight by his wife Ann and beloved family members: Brian and Kielen. To each of you: we will never forget the heroic legacy of Captain David Dorn."
Trump,"As long as I am President, I will defend the absolute right of every American citizen to live in security, dignity, and peace."
Trump,"If the Democrat Party wants to stand with anarchists, agitators, rioters, looters, and flag-burners, that is up to them, but I, as your President, will not be a part of it. The Republican Party will remain the voice of the patriotic heroes who keep America Safe."
Trump,"Last year, over 1,000 African-Americans were murdered as result of violent crime in just four Democrat-run cities. The top 10 most dangerous cities in the country are run by Democrats, and have been for decades. Thousands more African-Americans are victims of violent crime in these communities Joe Biden and the left ignore these American Victims. I NEVER WILL."
Trump,"If the Radical Left takes power, they will apply their disastrous policies to every city, town, and suburb in America."
Trump,Just imagine if the so-called peaceful demonstrators in the streets were in charge of every lever of power in the U.S. Government.
Trump,"Liberal politicians claim to be concerned about the strength of American institutions. But who, exactly, is attacking them? Who is hiring the radical professors, judges, and prosecutors? Who is trying to abolish immigration enforcement, and establish speech codes designed to muzzle dissent? In every case, the attacks on American institutions are being waged by the radical left."
Trump,"Always Remember: they are coming after ME, because I am fighting for YOU."
Trump,"We must reclaim our independence from the left’s repressive mandates. Americans are exhausted trying to keep up with the latest list of approved words and phrases, and the ever-more restrictive political decrees. Many things have a different name now, and the rules are constantly changing. The goal of cancel culture is to make decent Americans live in fear of being fired, expelled, shamed, humiliated, and driven from society as we know it. The far-left wants to coerce you into saying what you know to be FALSE, and scare you out of saying what you know to be TRUE."
Trump,"But on November 3rd, you can send them a thundering message they will never forget!"
Trump,"Joe Biden is weak. He takes his marching orders from liberal hypocrites who drive their cities into the ground while fleeing far from the scene of the wreckage. These same liberals want to eliminate school choice, while they enroll their children in the finest private schools in the land. They want to open our borders while living in walled-off compounds and communities. They want to defund the police, while they have armed guards for themselves."
Trump,"This November, we must turn the page FOREVER on this failed political class. The fact is, I’m here, and they’re not – and that’s because of YOU. Together, we will write the next chapter of the Great American Story."
Trump,"Over the next four years, we will make America into the Manufacturing Superpower of the World. We will expand Opportunity Zones, bring home our medical supply chains, and we will end our reliance on China once and for all."
Trump,We will continue to reduce taxes and regulations at levels not seen before.
Trump,We will create 10 million jobs in the next 10 months.
Trump,"We will hire MORE police, increase penalties for assaults on law enforcement, and surge federal prosecutors into high-crime communities."
Trump,"We will BAN deadly Sanctuary Cities, and ensure that federal healthcare is protected for American Citizens – not illegal aliens."
Trump,"We will have strong borders, strike down terrorists who threaten our people, and keep America OUT of endless and costly foreign wars."
Trump,"We will appoint prosecutors, judges, and justices who believe in enforcing the LAW – not their own political agenda."
Trump,"We will ensure equal justice for citizens of every race, religion, color and creed."
Trump,"We will uphold your religious liberty, and defend your Second Amendment right to keep and bear arms."
Trump,We will protect Medicare and Social Security.
Trump,"We will always, and very strongly, protect patients with pre-existing conditions, and that is a pledge from the entire Republican Party."
Trump,"We will END surprise medical billing, require price transparency, and further reduce the cost of prescription drugs and health insurance premiums."
Trump,"We will greatly expand energy development, continuing to remain number one in the world, and keep America Energy Independent."
Trump,"We will win the race to 5G, and build the world’s best cyber and missile defense."
Trump,"We will fully restore patriotic education to our schools, and always protect free speech on college campuses."
Trump,We will launch a new age of American Ambition in Space. America will land the first WOMAN on the moon – and the United States will be the first nation to plant its flag on Mars.
Trump,This is the unifying national agenda that will bring our country TOGETHER.
Trump,"So tonight, I say again to all Americans: This is the most important election in the history of our country. There has never been such a difference between two parties, or two individuals, in ideology, philosophy, or vision than there is right now."
Trump,Our opponents believe that America is a depraved nation.
Trump,We want our sons and daughters to know the truth: America is the greatest and most exceptional nation in the history of the world!
Trump,"Our country wasn’t built by cancel culture, speech codes, and soul-crushing conformity. We are NOT a nation of timid spirits. We are a nation of fierce, proud, and independent American Patriots."
Trump,"We are a nation of pilgrims, pioneers, adventurers, explorers and trailblazers who refused to be tied down, held back, or reined in. Americans have steel in their spines, grit in their souls, and fire in their hearts. There is no one like us on earth."
Trump,"I want every child in America to know that you are part of the most exciting and incredible adventure in human history. No matter where your family comes from, no matter your background, in America, ANYONE CAN RISE. With hard work, devotion, and drive, you can reach any goal and achieve every ambition."
Trump,"Our American Ancestors sailed across the perilous ocean to build a new life on a new continent. They braved the freezing winters, crossed the raging rivers, scaled the rocky peaks, trekked the dangerous forests, and worked from dawn till dusk. These pioneers didn’t have money, they didn’t have fame– but they had each other. They loved their families, they loved their country, and they loved their God!"
Trump,"When opportunity beckoned, they picked up their Bibles, packed up their belongings, climbed into covered wagons, and set out West for the next adventure. Ranchers and miners, cowboys and sheriffs, farmers and settlers – they pressed on past the Mississippi to stake a claim in the Wild Frontier."
Trump,"Legends were born – Wyatt Earp, Annie Oakley, Davy Crockett, and Buffalo Bill."
Trump,"Americans built their beautiful homesteads on the Open Range. Soon they had churches and communities, then towns, and with time, great centers of industry and commerce. That is who they were. Americans build the future, we don’t tear down the past!"
Trump,"We are the nation that won a revolution, toppled tyranny and fascism, and delivered millions into freedom. We laid down the railroads, built the great ships, raised up the skyscrapers, revolutionized industry, and sparked a new age of scientific discovery. We set the trends in art and music, radio and film, sport and literature – and we did it all with style, confidence and flair. Because THAT is who we are."
Trump,"Whenever our way of life was threatened, our heroes answered the call."
Trump,"From Yorktown to Gettysburg, from Normandy to Iwo Jima, American Patriots raced into cannon blasts, bullets and bayonets to rescue American Liberty."
Trump,"But America didn’t stop there. We looked into the sky and kept pressing onward. We built a 6 million pound rocket, and launched it thousands of miles into space. We did it so that two brave patriots could stand tall and salute our wondrous American flag planted on the face of the Moon."
Trump,"For America, nothing is impossible."
Trump,"Over the next four years, we will prove worthy of this magnificent legacy. We will reach stunning new heights. And we will show the world that, for America, no dream is beyond our reach."
Trump,"Together, we are unstoppable. Together, we are unbeatable. Because together, we are the proud CITIZENS of the UNITED STATES OF AMERICA. And on November 3rd, we will make America safer, we will make America stronger, we will make America prouder, and we will make America GREATER than ever before! Thank you, God Bless You. God Bless America — GOODNIGHT!"
